@relation InstanceResultListener

@attribute Key_Dataset {Glass,iris,weather}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.trees.RandomForest,weka.classifiers.bayes.NaiveBayes,weka.classifiers.lazy.IBk}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 10 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"'}
@attribute Key_Scheme_version_ID {-217733168393644444,1116839470751428698,5995231201785697655,-3080186098777067172}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 16\nSize of the tree: 31\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 27\nSize of the tree: 53\n','Number of leaves: 18\nSize of the tree: 35\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 3\nSize of the tree: 4\n','Number of leaves: 4\nSize of the tree: 6\n','Number of leaves: 5\nSize of the tree: 8\n','Number of leaves: 2\nSize of the tree: 3\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

Glass,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20221204.1411,192,22,17,5,0,77.272727,22.727273,0,0.685714,0.080334,0.232643,37.957359,71.728696,48.002519,3230.063037,-3182.060518,2.181933,146.821047,-144.639114,32.500321,1.477287,67.70545,1,7,0.266667,4,0.733333,11,0,0,0.636364,1,0.777778,0.68313,0.938095,0.790476,0.772727,0.089394,0.910606,0.227273,0.838843,0.772727,0.763709,0.718644,0.886079,0.767183,0.772487,0.772727,0,0,0,0,0,0,15813,22563,4033,86.363636,22.727273,'Number of leaves: 23\nSize of the tree: 45\n',45,23,23,?
Glass,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20221204.1411,192,22,18,4,0,81.818182,18.181818,0,0.755556,0.060535,0.206248,28.620077,63.636525,47.702958,2155.83227,-2108.129311,2.168316,97.992376,-95.82406,37.950725,1.725033,79.556334,0.714286,5,0.133333,2,0.866667,13,0.285714,2,0.714286,0.714286,0.714286,0.580952,0.809524,0.805195,0.818182,0.072944,0.927056,0.181818,0.82684,0.818182,0.818182,0.739314,0.906277,0.837072,0.862857,0.818182,0.016,0,0.015625,0,15.625,0,16377,22563,4033,86.363636,18.831169,'Number of leaves: 24\nSize of the tree: 47\n',47,24,24,?
Glass,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20221204.1411,192,22,14,8,0,63.636364,36.363636,0,0.521739,0.106318,0.297193,50.018852,91.188877,49.182986,3240.212508,-3191.029522,2.23559,147.282387,-145.046796,29.604066,1.345639,60.19168,0.857143,6,0.2,3,0.8,12,0.142857,1,0.666667,0.857143,0.75,0.622532,0.847619,0.724026,0.636364,0.124459,0.875541,0.363636,0.627273,0.636364,0.611014,0.495485,0.858604,0.71343,0.61859,0.636364,0,0,0,0,0,0,11865,22563,4033,81.818182,21.428571,'Number of leaves: 16\nSize of the tree: 31\n',31,16,16,?
Glass,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20221204.1411,192,22,13,9,0,59.090909,40.909091,0,0.454545,0.129884,0.333385,60.419149,101.009719,50.496248,5387.389767,-5336.893519,2.295284,244.881353,-242.586069,23.573454,1.071521,46.683576,0.285714,2,0.066667,1,0.933333,14,0.714286,5,0.666667,0.285714,0.4,0.297301,0.809524,0.612121,0.590909,0.157826,0.842174,0.409091,?,0.590909,?,?,0.772602,0.536118,?,0.590909,0,0,0,0,0,0,15813,22563,4033,77.272727,24.675325,'Number of leaves: 23\nSize of the tree: 45\n',45,23,23,?
Glass,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20221204.1411,193,21,14,7,0,66.666667,33.333333,0,0.566372,0.105815,0.286108,49.743402,87.70917,46.480972,3237.066723,-3190.585751,2.21338,154.146034,-151.932655,27.042589,1.287742,58.179913,0.714286,5,0.142857,2,0.857143,12,0.285714,2,0.714286,0.714286,0.714286,0.571429,0.77551,0.584725,0.666667,0.08914,0.91086,0.333333,0.675397,0.666667,0.654195,0.561966,0.812305,0.617471,0.623016,0.666667,0,0,0,0,0,0,15249,22672,3924,80.952381,24.489796,'Number of leaves: 22\nSize of the tree: 43\n',43,22,22,?
Glass,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20221204.1411,193,21,13,8,0,61.904762,38.095238,0,0.473354,0.117534,0.319555,55.252817,97.962587,46.480972,7523.096811,-7476.615839,2.21338,358.242705,-356.029326,22.179255,1.056155,47.716849,0.714286,5,0,0,1,14,0.285714,2,1,0.714286,0.833333,0.790569,0.867347,0.839827,0.619048,0.150251,0.849749,0.380952,0.675325,0.619048,0.624868,0.505277,0.717335,0.591734,0.531481,0.619048,0,0,0,0,0,0,16941,22672,3924,66.666667,22.44898,'Number of leaves: 25\nSize of the tree: 49\n',49,25,25,?
Glass,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20221204.1411,193,21,14,7,0,66.666667,33.333333,0,0.551829,0.111937,0.310456,52.621293,95.173393,46.480972,6448.990619,-6402.509648,2.21338,307.094791,-304.881412,27.693641,1.318745,59.580599,0.857143,6,0.357143,5,0.642857,9,0.142857,1,0.545455,0.857143,0.666667,0.47194,0.678571,0.450938,0.666667,0.14787,0.85213,0.333333,0.689755,0.666667,0.64127,0.53424,0.736484,0.564372,0.761111,0.666667,0,0,0,0,0,0,16377,22672,3924,71.428571,19.047619,'Number of leaves: 24\nSize of the tree: 47\n',47,24,24,?
Glass,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20221204.1411,193,21,13,8,0,61.904762,38.095238,0,0.490909,0.110013,0.307205,52.506422,95.800093,44.430294,4308.833821,-4264.403527,2.115728,205.182563,-203.066835,26.058972,1.240903,58.651361,0.428571,3,0.071429,1,0.928571,13,0.571429,4,0.75,0.428571,0.545455,0.428746,0.69898,0.642857,0.619048,0.132357,0.867643,0.380952,?,0.619048,?,?,0.808115,0.651077,?,0.619048,0,0,0,0,0,0,15249,22672,3924,80.952381,21.088435,'Number of leaves: 22\nSize of the tree: 43\n',43,22,22,?
Glass,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20221204.1411,193,21,12,9,0,57.142857,42.857143,0,0.392283,0.115004,0.312099,54.888179,97.326219,44.430294,5380.824117,-5336.393823,2.115728,256.22972,-254.113992,21.023861,1.001136,47.318753,0.571429,4,0.214286,3,0.785714,11,0.428571,3,0.571429,0.571429,0.571429,0.357143,0.795918,0.790476,0.571429,0.193407,0.806593,0.428571,?,0.571429,?,?,0.775746,0.650907,?,0.571429,0,0,0,0,0,0,14685,22672,3924,76.190476,19.047619,'Number of leaves: 21\nSize of the tree: 41\n',41,21,21,?
